cargo,id_ubicacion,clase_ubicacion,descripcion_ubicacion,COMUNA,cant_votos_positivos,cant_votos_negativos,porcentaje_participacion,porcentaje_planillas_procesadas,cant_votantes,hora_proceso,clase_candidatura,id_candidatura,descripcion_candidatura,cant_votos
DIP,CABA.1.5,Localidad,Monserrat,Comuna 01,20834,32,42.89,100,20866,2025-05-18 19:40:01,Lista,13.13.13,La Izquierda en la Ciudad,102
DIP,CABA.1.5,Localidad,Monserrat,Comuna 01,20834,32,42.89,100,20866,2025-05-18 19:40:01,Lista,14.14.14,La Libertad Avanza,6122
DIP,CABA.1.5,Localidad,Monserrat,Comuna 01,20834,32,42.89,100,20866,2025-05-18 19:40:01,Lista,15.15.15,Seamos Libres,139
DIP,CABA.1.5,Localidad,Monserrat,Comuna 01,20834,32,42.89,100,20866,2025-05-18 19:40:01,Lista,16.16.16,Unión del Centro Democrático,649
DIP,CABA.1.5,Localidad,Monserrat,Comuna 01,20834,32,42.89,100,20866,2025-05-18 19:40:01,Lista,17.17.17,Movimiento de Integración y Desarrollo,325
DIP,CABA.1.5,Localidad,Monserrat,Comuna 01,20834,32,42.89,100,20866,2025-05-18 19:40:01,Lista,2.2.2,Buenos Aires Primero,2826
DIP,CABA.1.5,Localidad,Monserrat,Comuna 01,20834,32,42.89,100,20866,2025-05-18 19:40:01,Lista,3.3.3,Volvamos Buenos Aires,1529
DIP,CABA.1.5,Localidad,Monserrat,Comuna 01,20834,32,42.89,100,20866,2025-05-18 19:40:01,Lista,4.4.4,Es Ahora Buenos Aires,6249
DIP,CABA.1.5,Localidad,Monserrat,Comuna 01,20834,32,42.89,100,20866,2025-05-18 19:40:01,Lista,5.5.5,Evolución,486
DIP,CABA.1.5,Localidad,Monserrat,Comuna 01,20834,32,42.89,100,20866,2025-05-18 19:40:01,Lista,6.6.6,Frente de Izquierda y de Trabajadores - Unidad,765
DIP,CABA.1.5,Localidad,Monserrat,Comuna 01,20834,32,42.89,100,20866,2025-05-18 19:40:01,Lista,7.7.7,Principios y Valores,469
DIP,CABA.1.5,Localidad,Monserrat,Comuna 01,20834,32,42.89,100,20866,2025-05-18 19:40:01,Lista,8.8.8,Unión Porteña Libertaria,143
DIP,CABA.1.5,Localidad,Monserrat,Comuna 01,20834,32,42.89,100,20866,2025-05-18 19:40:01,Lista,9.9.9,Movimiento Plural,39
DIP,CABA.1.5,Localidad,Monserrat,Comuna 01,20834,32,42.89,100,20866,2025-05-18 19:40:01,Blanco,BLC,Voto en BLANCO,404
DIP,CABA.1.5,Localidad,Monserrat,Comuna 01,20834,32,42.89,100,20866,2025-05-18 19:40:01,Especial,IMP,Votos DE IDENTIDAD IMPUGNADA,2
DIP,CABA.1.5,Localidad,Monserrat,Comuna 01,20834,32,42.89,100,20866,2025-05-18 19:40:01,Especial,NUL,Votos NULOS,26
DIP,CABA.1.5,Localidad,Monserrat,Comuna 01,20834,32,42.89,100,20866,2025-05-18 19:40:01,Especial,REC,Votos RECURRIDOS,4
